log file 

03-05 14:48:57.534   986  1171 V Robocol : received command: CMD_INIT_OP_MODE(11998) Drive in a square - LOG
03-05 14:48:57.547   986  1172 I RobotCore: ******************** START - OPMODE Drive in a square - LOG ********************
03-05 14:48:57.548   986  1182 I RobotCore: Attempting to switch to op mode Drive in a square - LOG
03-05 14:48:57.621   986  1182 V BroadcomColorSensorImpl: internalInitialize()...
03-05 14:48:57.630   986  1182 V BroadcomColorSensorImpl: state: 07 37 20 1d 42 01 c2 
03-05 14:48:57.630   986  1182 V BroadcomColorSensorImpl: setGain(0x01)
03-05 14:48:57.643   986  1182 V BroadcomColorSensorImpl: setLEDParameters(0x37)
03-05 14:48:57.649   986  1182 V BroadcomColorSensorImpl: setProximityPulseCount(0x20)
03-05 14:48:57.655   986  1182 V BroadcomColorSensorImpl: setPSMeasRate(0x1d)
03-05 14:48:57.661   986  1182 V BroadcomColorSensorImpl: setLSMeasRate(0x42)
03-05 14:48:57.670   986  1182 V BroadcomColorSensorImpl: enable() enabled=0x07...
03-05 14:48:57.679   986  1182 V BroadcomColorSensorImpl: ...enable() enabled=0x07
03-05 14:48:57.684   986  1182 V BroadcomColorSensorImpl: state: 07 37 20 1d 42 01 c2 
03-05 14:48:57.684   986  1182 V BroadcomColorSensorImpl: ...internalInitialize()
03-05 14:48:57.694   986  2068 V RobotCore: thread: 'LinearOpMode main' starting...
03-05 14:48:57.710   986  1288 V Robocol : sending CMD_NOTIFY_INIT_OP_MODE(54030), attempt: 0
03-05 14:48:58.852   986  1171 V Robocol : received command: CMD_RUN_OP_MODE(12022) Drive in a square - LOG
03-05 14:48:58.859   986  2068 D RobotCore: ECE008 - Program Start
03-05 14:48:59.081   986  2068 D RobotCore: ECE008 left position 7 velocity 60.0        right position 6 velocity 60.0
03-05 14:48:59.095   986  2068 D RobotCore: ECE008 left position 8 velocity 60.0        right position 7 velocity 40.0
03-05 14:48:59.110   986  2068 D RobotCore: ECE008 left position 9 velocity 60.0        right position 7 velocity 40.0
03-05 14:48:59.125   986  2068 D RobotCore: ECE008 left position 9 velocity 60.0        right position 8 velocity 60.0
03-05 14:48:59.142   986  2068 D RobotCore: ECE008 left position 11 velocity 60.0        right position 9 velocity 60.0
03-05 14:48:59.159   986  2068 D RobotCore: ECE008 left position 12 velocity 60.0        right position 10 velocity 60.0
03-05 14:48:59.174   986  2068 D RobotCore: ECE008 left position 13 velocity 80.0        right position 11 velocity 60.0
03-05 14:48:59.188   986  2068 D RobotCore: ECE008 left position 14 velocity 60.0        right position 12 velocity 60.0
03-05 14:48:59.202   986  2068 D RobotCore: ECE008 left position 15 velocity 80.0        right position 13 velocity 60.0
03-05 14:48:59.219   986  2068 D RobotCore: ECE008 left position 16 velocity 60.0        right position 13 velocity 40.0
03-05 14:48:59.236   986  2068 D RobotCore: ECE008 left position 17 velocity 80.0        right position 15 velocity 60.0
03-05 14:48:59.251   986  2068 D RobotCore: ECE008 left position 18 velocity 80.0        right position 16 velocity 60.0
03-05 14:48:59.266   986  2068 D RobotCore: ECE008 left position 19 velocity 80.0        right position 17 velocity 60.0
03-05 14:48:59.281   986  2068 D RobotCore: ECE008 left position 20 velocity 80.0        right position 17 velocity 60.0
03-05 14:48:59.297   986  2068 D RobotCore: ECE008 left position 22 velocity 60.0        right position 19 velocity 60.0
03-05 14:48:59.312   986  2068 D RobotCore: ECE008 left position 23 velocity 80.0        right position 20 velocity 80.0
03-05 14:48:59.326   986  2068 D RobotCore: ECE008 left position 24 velocity 80.0        right position 21 velocity 60.0
03-05 14:48:59.341   986  2068 D RobotCore: ECE008 left position 25 velocity 80.0        right position 22 velocity 80.0
03-05 14:48:59.356   986  2068 D RobotCore: ECE008 left position 27 velocity 80.0        right position 23 velocity 60.0
03-05 14:48:59.370   986  2068 D RobotCore: ECE008 left position 28 velocity 80.0        right position 24 velocity 80.0
03-05 14:48:59.386   986  2068 D RobotCore: ECE008 left position 29 velocity 80.0        right position 25 velocity 80.0
03-05 14:48:59.402   986  2068 D RobotCore: ECE008 left position 31 velocity 100.0        right position 26 velocity 80.0
03-05 14:48:59.419   986  2068 D RobotCore: ECE008 left position 32 velocity 100.0        right position 27 velocity 60.0
03-05 14:48:59.434   986  2068 D RobotCore: ECE008 left position 33 velocity 80.0        right position 29 velocity 60.0
03-05 14:48:59.450   986  2068 D RobotCore: ECE008 left position 35 velocity 80.0        right position 30 velocity 80.0
03-05 14:48:59.469   986  2068 D RobotCore: ECE008 left position 36 velocity 80.0        right position 31 velocity 80.0
03-05 14:48:59.486   986  2068 D RobotCore: ECE008 left position 38 velocity 100.0        right position 33 velocity 80.0
03-05 14:48:59.505   986  2068 D RobotCore: ECE008 left position 40 velocity 80.0        right position 34 velocity 80.0
03-05 14:48:59.524   986  2068 D RobotCore: ECE008 left position 41 velocity 80.0        right position 36 velocity 80.0
03-05 14:48:59.541   986  2068 D RobotCore: ECE008 left position 43 velocity 80.0        right position 37 velocity 80.0
03-05 14:48:59.556   986  2068 D RobotCore: ECE008 left position 44 velocity 100.0        right position 38 velocity 80.0
03-05 14:48:59.572   986  2068 D RobotCore: ECE008 left position 46 velocity 100.0        right position 40 velocity 80.0
03-05 14:48:59.594   986  2068 D RobotCore: ECE008 left position 47 velocity 100.0        right position 41 velocity 80.0
03-05 14:48:59.611   986  2068 D RobotCore: ECE008 left position 49 velocity 100.0        right position 43 velocity 80.0
03-05 14:48:59.629   986  2068 D RobotCore: ECE008 left position 51 velocity 100.0        right position 44 velocity 80.0
03-05 14:48:59.646   986  2068 D RobotCore: ECE008 left position 53 velocity 80.0        right position 46 velocity 80.0
03-05 14:48:59.666   986  2068 D RobotCore: ECE008 left position 55 velocity 80.0        right position 47 velocity 80.0
03-05 14:48:59.684   986  2068 D RobotCore: ECE008 left position 57 velocity 80.0        right position 49 velocity 100.0
03-05 14:48:59.701   986  2068 D RobotCore: ECE008 left position 58 velocity 100.0        right position 51 velocity 80.0
03-05 14:48:59.720   986  2068 D RobotCore: ECE008 left position 60 velocity 120.0        right position 52 velocity 80.0
03-05 14:48:59.739   986  2068 D RobotCore: ECE008 left position 62 velocity 100.0        right position 54 velocity 100.0
03-05 14:48:59.757   986  2068 D RobotCore: ECE008 left position 64 velocity 100.0        right position 56 velocity 100.0
03-05 14:48:59.776   986  2068 D RobotCore: ECE008 left position 66 velocity 100.0        right position 58 velocity 100.0
03-05 14:48:59.793   986  2068 D RobotCore: ECE008 left position 68 velocity 120.0        right position 60 velocity 100.0
03-05 14:48:59.811   986  2068 D RobotCore: ECE008 left position 69 velocity 120.0        right position 61 velocity 100.0
03-05 14:48:59.828   986  2068 D RobotCore: ECE008 left position 71 velocity 120.0        right position 63 velocity 100.0
03-05 14:48:59.845   986  2068 D RobotCore: ECE008 left position 73 velocity 100.0        right position 65 velocity 100.0
03-05 14:48:59.863   986  2068 D RobotCore: ECE008 left position 75 velocity 100.0        right position 67 velocity 100.0
03-05 14:48:59.880   986  2068 D RobotCore: ECE008 left position 77 velocity 100.0        right position 68 velocity 100.0
03-05 14:48:59.898   986  2068 D RobotCore: ECE008 left position 78 velocity 100.0        right position 70 velocity 100.0
03-05 14:48:59.919   986  2068 D RobotCore: ECE008 left position 81 velocity 100.0        right position 72 velocity 100.0
03-05 14:48:59.935   986  2068 D RobotCore: ECE008 left position 83 velocity 100.0        right position 74 velocity 120.0
03-05 14:48:59.951   986  2068 D RobotCore: ECE008 left position 84 velocity 120.0        right position 76 velocity 120.0
03-05 14:48:59.968   986  2068 D RobotCore: ECE008 left position 86 velocity 120.0        right position 78 velocity 100.0
03-05 14:48:59.986   986  2068 D RobotCore: ECE008 left position 88 velocity 120.0        right position 80 velocity 100.0
03-05 14:49:00.003   986  2068 D RobotCore: ECE008 left position 90 velocity 100.0        right position 81 velocity 100.0
03-05 14:49:00.018   986  2068 D RobotCore: ECE008 left position 92 velocity 100.0        right position 83 velocity 100.0
03-05 14:49:00.034   986  2068 D RobotCore: ECE008 left position 94 velocity 120.0        right position 85 velocity 100.0
03-05 14:49:00.050   986  2068 D RobotCore: ECE008 left position 96 velocity 120.0        right position 86 velocity 100.0
03-05 14:49:00.067   986  2068 D RobotCore: ECE008 left position 98 velocity 120.0        right position 88 velocity 120.0
03-05 14:49:00.084   986  2068 D RobotCore: ECE008 left position 100 velocity 120.0        right position 90 velocity 120.0
03-05 14:49:00.100   986  2068 D RobotCore: ECE008 left position 102 velocity 120.0        right position 92 velocity 120.0
03-05 14:49:00.116   986  2068 D RobotCore: ECE008 left position 104 velocity 120.0        right position 94 velocity 100.0
03-05 14:49:00.132   986  2068 D RobotCore: ECE008 left position 105 velocity 100.0        right position 96 velocity 120.0
03-05 14:49:00.148   986  2068 D RobotCore: ECE008 left position 107 velocity 120.0        right position 98 velocity 120.0
03-05 14:49:00.164   986  2068 D RobotCore: ECE008 left position 109 velocity 120.0        right position 100 velocity 120.0
03-05 14:49:00.181   986  2068 D RobotCore: ECE008 left position 111 velocity 120.0        right position 102 velocity 100.0
03-05 14:49:00.197   986  2068 D RobotCore: ECE008 left position 113 velocity 120.0        right position 104 velocity 120.0
03-05 14:49:00.212   986  2068 D RobotCore: ECE008 left position 115 velocity 120.0        right position 105 velocity 120.0
03-05 14:49:00.229   986  2068 D RobotCore: ECE008 left position 117 velocity 120.0        right position 107 velocity 120.0
03-05 14:49:00.247   986  2068 D RobotCore: ECE008 left position 119 velocity 120.0        right position 109 velocity 100.0
03-05 14:49:00.264   986  2068 D RobotCore: ECE008 left position 121 velocity 120.0        right position 112 velocity 120.0
03-05 14:49:00.281   986  2068 D RobotCore: ECE008 left position 123 velocity 120.0        right position 114 velocity 120.0
03-05 14:49:00.298   986  2068 D RobotCore: ECE008 left position 125 velocity 120.0        right position 116 velocity 140.0
03-05 14:49:00.314   986  2068 D RobotCore: ECE008 left position 127 velocity 120.0        right position 118 velocity 120.0
03-05 14:49:00.331   986  2068 D RobotCore: ECE008 left position 129 velocity 120.0        right position 120 velocity 140.0
03-05 14:49:00.347   986  2068 D RobotCore: ECE008 left position 131 velocity 120.0        right position 122 velocity 120.0
03-05 14:49:00.362   986  2068 D RobotCore: ECE008 left position 133 velocity 120.0        right position 124 velocity 120.0
03-05 14:49:00.378   986  2068 D RobotCore: ECE008 left position 135 velocity 140.0        right position 126 velocity 140.0
03-05 14:49:00.393   986  2068 D RobotCore: ECE008 left position 137 velocity 120.0        right position 128 velocity 120.0
03-05 14:49:00.409   986  2068 D RobotCore: ECE008 left position 139 velocity 120.0        right position 130 velocity 140.0
03-05 14:49:00.427   986  2068 D RobotCore: ECE008 left position 141 velocity 120.0        right position 132 velocity 120.0
03-05 14:49:00.443   986  2068 D RobotCore: ECE008 left position 143 velocity 120.0        right position 134 velocity 120.0
03-05 14:49:00.459   986  2068 D RobotCore: ECE008 left position 145 velocity 120.0        right position 136 velocity 120.0
03-05 14:49:00.476   986  2068 D RobotCore: ECE008 left position 147 velocity 120.0        right position 138 velocity 120.0
03-05 14:49:00.494   986  2068 D RobotCore: ECE008 left position 150 velocity 120.0        right position 140 velocity 140.0
03-05 14:49:00.510   986  2068 D RobotCore: ECE008 left position 152 velocity 140.0        right position 142 velocity 120.0
03-05 14:49:00.526   986  2068 D RobotCore: ECE008 left position 154 velocity 120.0        right position 144 velocity 140.0
03-05 14:49:00.540   986  2068 D RobotCore: ECE008 left position 156 velocity 140.0        right position 146 velocity 120.0
03-05 14:49:00.555   986  2068 D RobotCore: ECE008 left position 158 velocity 120.0        right position 148 velocity 120.0
03-05 14:49:00.570   986  2068 D RobotCore: ECE008 left position 160 velocity 140.0        right position 150 velocity 120.0
03-05 14:49:00.585   986  2068 D RobotCore: ECE008 left position 161 velocity 120.0        right position 152 velocity 120.0
03-05 14:49:00.601   986  2068 D RobotCore: ECE008 left position 164 velocity 120.0        right position 154 velocity 140.0
03-05 14:49:00.618   986  2068 D RobotCore: ECE008 left position 165 velocity 120.0        right position 156 velocity 120.0
03-05 14:49:00.635   986  2068 D RobotCore: ECE008 left position 168 velocity 140.0        right position 158 velocity 120.0
03-05 14:49:00.652   986  2068 D RobotCore: ECE008 left position 170 velocity 120.0        right position 160 velocity 120.0
03-05 14:49:00.668   986  2068 D RobotCore: ECE008 left position 172 velocity 140.0        right position 163 velocity 120.0
03-05 14:49:00.685   986  2068 D RobotCore: ECE008 left position 175 velocity 120.0        right position 165 velocity 140.0
03-05 14:49:00.701   986  2068 D RobotCore: ECE008 left position 177 velocity 140.0        right position 167 velocity 140.0
03-05 14:49:00.716   986  2068 D RobotCore: ECE008 left position 179 velocity 120.0        right position 169 velocity 140.0
03-05 14:49:00.734   986  2068 D RobotCore: ECE008 left position 181 velocity 140.0        right position 171 velocity 140.0
03-05 14:49:00.751   986  2068 D RobotCore: ECE008 left position 183 velocity 120.0        right position 173 velocity 120.0
03-05 14:49:00.767   986  2068 D RobotCore: ECE008 left position 185 velocity 140.0        right position 176 velocity 140.0
03-05 14:49:00.783   986  2068 D RobotCore: ECE008 left position 188 velocity 140.0        right position 178 velocity 120.0
03-05 14:49:00.799   986  2068 D RobotCore: ECE008 left position 190 velocity 140.0        right position 180 velocity 140.0
03-05 14:49:00.814   986  2068 D RobotCore: ECE008 left position 192 velocity 140.0        right position 182 velocity 120.0
03-05 14:49:00.830   986  2068 D RobotCore: ECE008 left position 194 velocity 140.0        right position 184 velocity 140.0
03-05 14:49:00.846   986  2068 D RobotCore: ECE008 left position 196 velocity 140.0        right position 186 velocity 140.0
03-05 14:49:00.862   986  2068 D RobotCore: ECE008 left position 198 velocity 120.0        right position 188 velocity 140.0
03-05 14:49:00.879   986  2068 D RobotCore: ECE008 left position 201 velocity 140.0        right position 190 velocity 120.0
03-05 14:49:00.896   986  2068 D RobotCore: ECE008 left position 203 velocity 140.0        right position 193 velocity 140.0
03-05 14:49:00.913   986  2068 D RobotCore: ECE008 left position 205 velocity 140.0        right position 195 velocity 120.0
03-05 14:49:00.929   986  2068 D RobotCore: ECE008 left position 208 velocity 140.0        right position 197 velocity 140.0
03-05 14:49:00.946   986  2068 D RobotCore: ECE008 left position 210 velocity 140.0        right position 199 velocity 120.0
03-05 14:49:00.962   986  2068 D RobotCore: ECE008 left position 212 velocity 140.0        right position 201 velocity 140.0
03-05 14:49:00.978   986  2068 D RobotCore: ECE008 left position 214 velocity 140.0        right position 203 velocity 120.0
03-05 14:49:00.999   986  2068 D RobotCore: ECE008 left position 217 velocity 120.0        right position 206 velocity 120.0
03-05 14:49:01.017   986  2068 D RobotCore: ECE008 left position 220 velocity 140.0        right position 209 velocity 140.0
03-05 14:49:01.032   986  2068 D RobotCore: ECE008 left position 222 velocity 140.0        right position 211 velocity 120.0
03-05 14:49:01.048   986  2068 D RobotCore: ECE008 left position 224 velocity 140.0        right position 213 velocity 140.0
03-05 14:49:01.064   986  2068 D RobotCore: ECE008 left position 226 velocity 140.0        right position 215 velocity 120.0
03-05 14:49:01.079   986  2068 D RobotCore: ECE008 left position 228 velocity 120.0        right position 217 velocity 140.0
03-05 14:49:01.094   986  2068 D RobotCore: ECE008 left position 230 velocity 140.0        right position 219 velocity 120.0
03-05 14:49:01.110   986  2068 D RobotCore: ECE008 left position 232 velocity 120.0        right position 221 velocity 140.0
03-05 14:49:01.126   986  2068 D RobotCore: ECE008 left position 235 velocity 140.0        right position 223 velocity 120.0
03-05 14:49:01.142   986  2068 D RobotCore: ECE008 left position 237 velocity 140.0        right position 225 velocity 140.0
03-05 14:49:01.157   986  2068 D RobotCore: ECE008 left position 239 velocity 140.0        right position 228 velocity 120.0
03-05 14:49:01.173   986  2068 D RobotCore: ECE008 left position 241 velocity 140.0        right position 230 velocity 140.0
03-05 14:49:01.189   986  2068 D RobotCore: ECE008 left position 243 velocity 120.0        right position 232 velocity 140.0
03-05 14:49:01.205   986  2068 D RobotCore: ECE008 left position 245 velocity 140.0        right position 234 velocity 140.0
03-05 14:49:01.221   986  2068 D RobotCore: ECE008 left position 248 velocity 120.0        right position 236 velocity 140.0
03-05 14:49:01.241   986  2068 D RobotCore: ECE008 left position 250 velocity 140.0        right position 239 velocity 120.0
03-05 14:49:01.257   986  2068 D RobotCore: ECE008 left position 252 velocity 140.0        right position 241 velocity 140.0
03-05 14:49:01.273   986  2068 D RobotCore: ECE008 left position 255 velocity 140.0        right position 243 velocity 140.0
03-05 14:49:01.288   986  2068 D RobotCore: ECE008 left position 257 velocity 140.0        right position 245 velocity 140.0
03-05 14:49:01.305   986  2068 D RobotCore: ECE008 left position 259 velocity 140.0        right position 248 velocity 140.0
03-05 14:49:01.320   986  2068 D RobotCore: ECE008 left position 261 velocity 140.0        right position 250 velocity 140.0
03-05 14:49:01.335   986  2068 D RobotCore: ECE008 left position 263 velocity 140.0        right position 252 velocity 140.0
03-05 14:49:01.351   986  2068 D RobotCore: ECE008 left position 266 velocity 140.0        right position 254 velocity 140.0
03-05 14:49:01.368   986  2068 D RobotCore: ECE008 left position 268 velocity 140.0        right position 256 velocity 140.0
03-05 14:49:01.383   986  2068 D RobotCore: ECE008 left position 270 velocity 140.0        right position 258 velocity 140.0
03-05 14:49:01.399   986  2068 D RobotCore: ECE008 left position 272 velocity 140.0        right position 260 velocity 120.0
03-05 14:49:01.415   986  2068 D RobotCore: ECE008 left position 274 velocity 140.0        right position 263 velocity 140.0
03-05 14:49:01.431   986  2068 D RobotCore: ECE008 left position 277 velocity 140.0        right position 265 velocity 120.0
03-05 14:49:01.448   986  2068 D RobotCore: ECE008 left position 279 velocity 140.0        right position 267 velocity 140.0
03-05 14:49:01.464   986  2068 D RobotCore: ECE008 left position 281 velocity 140.0        right position 269 velocity 120.0
03-05 14:49:01.484   986  2068 D RobotCore: ECE008 left position 284 velocity 120.0        right position 272 velocity 140.0
03-05 14:49:01.501   986  2068 D RobotCore: ECE008 left position 287 velocity 140.0        right position 274 velocity 140.0
03-05 14:49:01.518   986  2068 D RobotCore: ECE008 left position 289 velocity 140.0        right position 277 velocity 140.0
03-05 14:49:01.535   986  2068 D RobotCore: ECE008 left position 292 velocity 140.0        right position 279 velocity 140.0
03-05 14:49:01.551   986  2068 D RobotCore: ECE008 left position 294 velocity 140.0        right position 281 velocity 140.0
03-05 14:49:01.567   986  2068 D RobotCore: ECE008 left position 296 velocity 160.0        right position 284 velocity 140.0
03-05 14:49:01.585   986  2068 D RobotCore: ECE008 left position 299 velocity 140.0        right position 286 velocity 140.0
03-05 14:49:01.602   986  2068 D RobotCore: ECE008 left position 301 velocity 140.0        right position 288 velocity 140.0
03-05 14:49:01.618   986  2068 D RobotCore: ECE008 left position 304 velocity 140.0        right position 291 velocity 140.0
03-05 14:49:01.633   986  2068 D RobotCore: ECE008 left position 306 velocity 160.0        right position 293 velocity 140.0
03-05 14:49:01.649   986  2068 D RobotCore: ECE008 left position 308 velocity 140.0        right position 295 velocity 140.0
03-05 14:49:01.665   986  2068 D RobotCore: ECE008 left position 310 velocity 140.0        right position 297 velocity 160.0
03-05 14:49:01.680   986  2068 D RobotCore: ECE008 left position 313 velocity 160.0        right position 300 velocity 160.0
03-05 14:49:01.697   986  2068 D RobotCore: ECE008 left position 315 velocity 140.0        right position 302 velocity 140.0
03-05 14:49:01.713   986  2068 D RobotCore: ECE008 left position 317 velocity 140.0        right position 304 velocity 140.0
03-05 14:49:01.729   986  2068 D RobotCore: ECE008 left position 320 velocity 140.0        right position 307 velocity 140.0
03-05 14:49:01.746   986  2068 D RobotCore: ECE008 left position 322 velocity 140.0        right position 309 velocity 140.0
03-05 14:49:01.765   986  2068 D RobotCore: ECE008 left position 325 velocity 140.0        right position 312 velocity 140.0
03-05 14:49:01.781   986  2068 D RobotCore: ECE008 left position 327 velocity 140.0        right position 314 velocity 140.0
03-05 14:49:01.796   986  2068 D RobotCore: ECE008 left position 329 velocity 160.0        right position 316 velocity 140.0
03-05 14:49:01.814   986  2068 D RobotCore: ECE008 left position 332 velocity 160.0        right position 319 velocity 140.0
03-05 14:49:01.830   986  2068 D RobotCore: ECE008 left position 335 velocity 140.0        right position 321 velocity 140.0
03-05 14:49:01.847   986  2068 D RobotCore: ECE008 left position 337 velocity 140.0        right position 323 velocity 140.0
03-05 14:49:01.865   986  2068 D RobotCore: ECE008 left position 340 velocity 140.0        right position 326 velocity 140.0
03-05 14:49:01.881   986  2068 D RobotCore: ECE008 left position 342 velocity 160.0        right position 328 velocity 140.0
03-05 14:49:01.897   986  2068 D RobotCore: ECE008 left position 344 velocity 160.0        right position 330 velocity 140.0
03-05 14:49:01.914   986  2068 D RobotCore: ECE008 left position 347 velocity 160.0        right position 333 velocity 140.0
03-05 14:49:01.930   986  2068 D RobotCore: ECE008 left position 349 velocity 140.0        right position 335 velocity 140.0
03-05 14:49:01.947   986  2068 D RobotCore: ECE008 left position 352 velocity 140.0        right position 337 velocity 140.0
03-05 14:49:01.964   986  2068 D RobotCore: ECE008 left position 354 velocity 140.0        right position 340 velocity 140.0
03-05 14:49:01.980   986  2068 D RobotCore: ECE008 left position 357 velocity 140.0        right position 342 velocity 140.0
03-05 14:49:01.998   986  2068 D RobotCore: ECE008 left position 359 velocity 140.0        right position 345 velocity 160.0
03-05 14:49:02.015   986  2068 D RobotCore: ECE008 left position 362 velocity 140.0        right position 347 velocity 140.0
03-05 14:49:02.032   986  2068 D RobotCore: ECE008 left position 364 velocity 140.0        right position 350 velocity 140.0
03-05 14:49:02.048   986  2068 D RobotCore: ECE008 left position 366 velocity 160.0        right position 352 velocity 140.0
03-05 14:49:02.064   986  2068 D RobotCore: ECE008 left position 369 velocity 160.0        right position 355 velocity 160.0
03-05 14:49:02.080   986  2068 D RobotCore: ECE008 left position 371 velocity 140.0        right position 357 velocity 160.0
03-05 14:49:02.097   986  2068 D RobotCore: ECE008 left position 374 velocity 140.0        right position 360 velocity 160.0
03-05 14:49:02.113   986  2068 D RobotCore: ECE008 left position 376 velocity 140.0        right position 362 velocity 160.0
03-05 14:49:02.129   986  2068 D RobotCore: ECE008 left position 379 velocity 140.0        right position 365 velocity 160.0
03-05 14:49:02.145   986  2068 D RobotCore: ECE008 left position 381 velocity 160.0        right position 367 velocity 140.0
03-05 14:49:02.161   986  2068 D RobotCore: ECE008 left position 383 velocity 140.0        right position 369 velocity 140.0
03-05 14:49:02.177   986  2068 D RobotCore: ECE008 left position 386 velocity 160.0        right position 372 velocity 160.0
03-05 14:49:02.193   986  2068 D RobotCore: ECE008 left position 388 velocity 140.0        right position 374 velocity 160.0
03-05 14:49:02.210   986  2068 D RobotCore: ECE008 left position 391 velocity 140.0        right position 377 velocity 160.0
03-05 14:49:02.226   986  2068 D RobotCore: ECE008 left position 393 velocity 160.0        right position 379 velocity 140.0
03-05 14:49:02.243   986  2068 D RobotCore: ECE008 left position 396 velocity 160.0        right position 382 velocity 140.0
03-05 14:49:02.262   986  2068 D RobotCore: ECE008 left position 399 velocity 160.0        right position 385 velocity 140.0
03-05 14:49:02.278   986  2068 D RobotCore: ECE008 left position 401 velocity 140.0        right position 387 velocity 160.0
03-05 14:49:02.295   986  2068 D RobotCore: ECE008 left position 404 velocity 140.0        right position 390 velocity 160.0
03-05 14:49:02.310   986  2068 D RobotCore: ECE008 left position 406 velocity 160.0        right position 392 velocity 160.0
03-05 14:49:02.326   986  2068 D RobotCore: ECE008 left position 408 velocity 160.0        right position 394 velocity 140.0
03-05 14:49:02.341   986  2068 D RobotCore: ECE008 left position 410 velocity 140.0        right position 397 velocity 140.0
03-05 14:49:02.356   986  2068 D RobotCore: ECE008 left position 413 velocity 140.0        right position 399 velocity 160.0
03-05 14:49:02.372   986  2068 D RobotCore: ECE008 left position 415 velocity 140.0        right position 401 velocity 160.0
03-05 14:49:02.387   986  2068 D RobotCore: ECE008 left position 417 velocity 160.0        right position 404 velocity 140.0
03-05 14:49:02.402   986  2068 D RobotCore: ECE008 left position 420 velocity 160.0        right position 406 velocity 140.0
03-05 14:49:02.418   986  2068 D RobotCore: ECE008 left position 422 velocity 140.0        right position 408 velocity 140.0
03-05 14:49:02.434   986  2068 D RobotCore: ECE008 left position 425 velocity 140.0        right position 411 velocity 160.0
03-05 14:49:02.454   986  2068 D RobotCore: ECE008 left position 428 velocity 140.0        right position 414 velocity 160.0
03-05 14:49:02.478   986  2068 D RobotCore: ECE008 left position 431 velocity 140.0        right position 417 velocity 160.0
03-05 14:49:02.499   986  2068 D RobotCore: ECE008 left position 434 velocity 140.0        right position 420 velocity 160.0
